"NBPERSMENFISC15","ambulance","analyse_medicale","autre","autre_specialiste","chirurgien","dentiste","generaliste","hopital","infirmiers","organe","radiologiste","reeducateur_podologue","generaliste_habitant","infirmiers_habitant","ambulance_habitant","hopital_habitant","regionName","indice"
"516551.5","47.0","43.0","559.0","332.0","63.0","331.0","808.0","100.0","845.0","1.0","59.0","798.0","156.42196373449696","163.58485068768556","9.098802345942273","19.359153927536752","Bourgogne-Franche-Comté","86.90123947447931"
"497933.0","62.0","47.0","813.0","293.0","36.0","355.0","675.0","116.0","1337.0","2.0","55.0","1106.0","135.56040672138622","268.51002042443463","12.451474395149548","23.296306932860446","Auvergne-Rhône-Alpes","103.17297583317477"
"592263.5","67.0","37.0","472.0","152.0","17.0","240.0","517.0","148.0","622.0","2.0","30.0","616.0","87.2922271927951","105.0208226574827","11.312532344133988","24.988877416892986","Normandie","68.99692773947893"
"429705.0","52.0","28.0","369.0","160.0","25.0","188.0","397.0","85.0","426.0","3.0","31.0","457.0","92.38896452217219","99.13778057039131","12.101325327841193","19.781012555125027","Centre-Val de Loire","62.53871222204065"
"889886.0","112.0","72.0","834.0","531.0","76.0","580.0","1274.0","251.0","2690.0","3.0","95.0","1777.0","143.16440532832294","302.285910779583","12.585881787105315","28.20586007645923","Bretagne","116.49860929696044"
"123172.0","13.0","19.0","190.0","142.0","17.0","167.0","251.0","44.0","679.0","1.0","25.0","428.0","203.7800798882863","551.2616503750852","10.554346767122398","35.72240444256811","Corse","178.60889979426088"
"140186.0","28.0","24.0","182.0","137.0","24.0","127.0","268.0","50.0","866.0","0.0","20.0","434.0","191.17458234060462","617.750702637924","19.973463826630333","35.66689969041131","Corse","185.75631857311123"
"725321.0","136.0","96.0","904.0","483.0","88.0","562.0","1037.0","151.0","2638.0","2.0","118.0","1657.0","142.97118103570696","363.701037195945","18.75031882435501","20.81836869468828","Languedoc-Roussillon-Midi-Pyrénées","116.27515152469275"
"1260660.5","145.0","202.0","2379.0","1510.0","231.0","1330.0","2310.0","259.0","2915.0","11.0","330.0","3923.0","183.23727918817158","231.22799516602606","11.50190713518826","20.544785848370754","Languedoc-Roussillon-Midi-Pyrénées","105.09537658680568"
"179274.0","43.0","22.0","271.0","79.0","8.0","121.0","281.0","66.0","510.0","2.0","9.0","335.0","156.74330912458026","284.4807389805549","23.98563093365463","36.815154456307106","Languedoc-Roussillon-Midi-Pyrénées","128.12853663855222"
"1502598.5","139.0","192.0","2521.0","1831.0","257.0","1334.0","2849.0","224.0","4204.0","9.0","241.0","4358.0","189.6048744890934","279.7819909975952","9.25064147208985","14.907508559339039","Aquitaine-Limousin-Poitou-Charentes","106.71391614347819"
"1084819.0","153.0","176.0","1835.0","1349.0","230.0","1146.0","2196.0","212.0","3855.0","8.0","246.0","3947.0","202.4300828064405","355.3588202271531","14.103735277497906","19.542430580585332","Languedoc-Roussillon-Midi-Pyrénées","127.31023696753923"
"1000230.0","153.0","103.0","1318.0","734.0","104.0","745.0","1440.0","202.0","1621.0","3.0","134.0","2266.0","143.96688761584835","162.06272557311817","15.296481809183888","20.195355068334283","Bretagne","84.82695768138937"
"216274.5","66.0","14.0","183.0","74.0","7.0","83.0","264.0","60.0","388.0","2.0","24.0","249.0","122.06709528862626","179.40164004540526","30.516773822156566","27.742521656505968","Centre-Val de Loire","92.12620449538576"
"586289.0","57.0","55.0","764.0","559.0","104.0","364.0","979.0","98.0","816.0","5.0","82.0","1100.0","166.9824949811441","139.1805065419955","9.722167736389391","16.715305932739657","Centre-Val de Loire","82.216175664292"
"1229928.0","131.0","112.0","1824.0","864.0","111.0","765.0","1798.0","287.0","2413.0","3.0","154.0","2970.0","146.1874191009555","196.1903461015604","10.65102997899064","23.33469926694896","Auvergne-Rhône-Alpes","94.64584053015983"
"249479.0","35.0","17.0","262.0","80.0","18.0","146.0","340.0","95.0","416.0","0.0","34.0","371.0","136.2840158891129","166.74750179373814","14.029236929761623","38.07935738078155","Bourgogne-Franche-Comté","106.93536202019122"
"400389.0","67.0","46.0","557.0","266.0","33.0","315.0","645.0","73.0","1028.0","3.0","78.0","1188.0","161.09333673003005","256.75031032321067","16.733726451026378","18.23226911828247","Aquitaine-Limousin-Poitou-Charentes","100.80210409673415"
"326148.5","54.0","22.0","326.0","188.0","19.0","152.0","358.0","79.0","493.0","1.0","24.0","452.0","109.76595017300401","151.15813808740498","16.55687516576038","24.222095149908707","Centre-Val de Loire","80.3459947900345"
"740017.5","97.0","48.0","733.0","438.0","83.0","413.0","1134.0","179.0","1767.0","6.0","97.0","1383.0","153.23961933332657","238.7781370035168","13.107798126395659","24.18861716108065","Auvergne-Rhône-Alpes","103.93086743484552"
"220475.5","52.0","14.0","209.0","60.0","10.0","133.0","270.0","53.0","605.0","3.0","33.0","404.0","122.4625865458974","274.4069068898812","23.585387038469126","24.038952173824303","Auvergne-Rhône-Alpes","101.96233394638423"
"1339917.0","139.0","114.0","2139.0","1215.0","172.0","1099.0","2045.0","278.0","1655.0","5.0","215.0","3334.0","152.62139371319267","123.51511324955203","10.373776883195005","20.74755376639001","Pays de la Loire","81.67392190826557"
"665267.5","77.0","64.0","575.0","338.0","52.0","305.0","657.0","108.0","671.0","2.0","49.0","900.0","98.75726681372531","100.86168345815781","11.574291544378765","16.234071257050736","Centre-Val de Loire","59.69818664419044"
"164670.5","31.0","13.0","223.0","63.0","6.0","114.0","256.0","72.0","490.0","1.0","6.0","340.0","155.4619679906237","297.5639231070532","18.825472686364588","43.72367849736292","Languedoc-Roussillon-Midi-Pyrénées","138.7912561597675"
"322059.5","31.0","26.0","370.0","171.0","21.0","190.0","391.0","72.0","829.0","4.0","23.0","549.0","121.40613768573819","257.40585202423773","9.625550558204306","22.356117425506778","Aquitaine-Limousin-Poitou-Charentes","96.92836948183734"
"68328.5","28.0","7.0","94.0","26.0","6.0","48.0","93.0","78.0","194.0","2.0","7.0","151.0","136.10718806940002","283.922521349071","40.9785082359484","114.15441580014196","Languedoc-Roussillon-Midi-Pyrénées","223.50581697944995"
"783311.0","76.0","64.0","885.0","517.0","100.0","416.0","1149.0","141.0","971.0","4.0","57.0","1417.0","146.6850331477536","123.96098101520342","9.702404281313552","18.000513206121195","Pays de la Loire","76.78473952347616"
"487809.5","88.0","27.0","431.0","211.0","43.0","218.0","580.0","188.0","1188.0","2.0","49.0","754.0","118.89887343317422","243.53769248036375","18.039829072619536","38.53963483695992","Normandie","115.20625413273142"
"531696.0","49.0","36.0","484.0","413.0","49.0","384.0","831.0","144.0","773.0","3.0","77.0","847.0","156.2923174144624","145.38382835304384","9.215792482922572","27.083145255935722","Alsace-Champagne-Ardenne-Lorraine","94.10206553296462"
"163879.0","24.0","6.0","100.0","58.0","13.0","80.0","205.0","67.0","280.0","2.0","23.0","190.0","125.09229370450149","170.85776701102643","14.644951458087979","40.88382282049561","Alsace-Champagne-Ardenne-Lorraine","108.57313172416224"
"301157.0","55.0","12.0","214.0","91.0","13.0","136.0","277.0","75.0","406.0","2.0","20.0","355.0","91.97860252293654","134.81340297585643","18.262899417911587","24.90395375169762","Pays de la Loire","74.54936168460362"
"681333.5","95.0","73.0","472.0","690.0","122.0","542.0","1245.0","197.0","1219.0","8.0","173.0","1238.0","182.72989659249106","178.91385055923422","13.943245121515382","28.913887251984526","Alsace-Champagne-Ardenne-Lorraine","107.82092659817685"
